ID,Name_of_Institute,P_or_G,City,Location,Acadmics,Fees,Infrastructure,Placement,Total,Branch
435,DJ Sanghvi College Of Engineering,P,Mumbai,115,125.7,105.6,123.3,127.2,596.8,ENTC
436,NMIMS,P,Mumbai,117,128.8,124.3,122.7,103.5,596.3,ENTC
437,SRM Engineering College,P,Chennai,117,118.8,121.1,127.4,111.6,595.9,ENTC
438,Guru Nanak Dev Engineering College,G,Ludhiana,130,113.8,121.2,138.8,91,594.9,ENTC
439,Govt Model Engineering College,G,Kochi,124.3,116.7,121.8,125.1,106.7,594.6,ENTC
440,Govt College Of Engineering,G,Amravati,127.6,103.1,113.9,145.2,104.7,594.4,ENTC
441,Thiagarajar College Of Engineering,P,Madurai,131.6,119.3,112.1,127.9,102.7,593.6,ENTC
442,MIT College Of Engineering,P,Pune,117.1,116,104.7,134.7,113.5,586,ENTC
443,Bannari Amman Institute Of Technology,P,Erode,120,129.8,120.3,150.6,63.8,584.5,ENTC
444,BVU College Of Engineering,P,Pune,106,130.8,82.4,145.7,117.4,582.3,ENTC
445,Kongu Engineering College,P,Erode,104.1,123.7,118.3,138.9,91.1,576.1,ENTC
446,Rungta College Of Engineering,P,Bhilai,122,129.2,100.4,133.5,91.1,576.1,ENTC
447,BMS Institute Of Technology & Management,P,Bangalore,128.3,120.2,95.1,142.3,89.4,575.2,ENTC
448,PES University,P,Bangalore,122,112.8,108.1,133.4,96.6,572.9,ENTC
449,BMS College Of Engineering,P,Bangalore,124.2,124.8,89.1,130.5,103.8,572.4,ENTC
450,KLE Dr MS Sheshgiri College Of Engg,P,Belgaum,121.7,116.7,86,153.8,89.2,567.4,ENTC
451,JNNCE,P,Shimoga,127.1,127,81.8,148.7,81.8,566.4,ENTC
452,Symbiosis Institute Of Technology,P,Pune,120.3,131.2,90.1,127.3,97.3,566.2,ENTC
453,School Of Engineering & Technology_ Sharda University,P,Noida,127,128,106,107.9,96.8,565.7,ENTC
454,K L University,P,Guntur,116,129.4,105.5,140.8,73.3,564.9,ENTC
455,Faculty Of Engineering_ DIT University,P,Dehradun,117,119.7,92.3,135,100.9,564.8,ENTC
456,Walchand College Of Engineering,P,Sangli,111.7,127.9,99.7,134.5,90.9,564.6,ENTC
457,Galgotias College Of Engineering And Technology,P,Noida,126.2,110.6,97.3,133.2,96.1,563.4,ENTC
458,Sri Sairam Engineering College,P,Chennai,114.4,129.1,91,138.5,89.6,562.5,ENTC
459,Sri Jayachamarajendra College Of Engineering,G,Mysore,102,123.9,99,134.9,102.2,561.9,ENTC
460,Sanjivani College Of Engineering,P,Ahmednagar,116,124.3,107.1,136.1,77.8,561.4,ENTC
461,Cummins College of Engineering for Women,P,Pune,122,126.4,90.1,124.8,96.4,559.6,ENTC
462,Shri Ramdeobaba College Of Engg,P,Nagpur,115.4,123.9,101,129.8,89,559.1,ENTC
463,SDM College Of Engineering,P,Dharwad,129,128.7,106.7,110.6,83.8,558.7,ENTC
464,Sir M Visvesvaraya Institute Of Technology,P,Bangalore,123.5,104.6,103.6,125.8,101.1,558.5,ENTC
465,MVJ College Of Engineering,P,Bangalore,122.5,111.8,80.3,156,87.7,558.3,ENTC
466,Army Institute Of Technology,P,Pune,107,111.6,98.3,140.7,100.3,557.8,ENTC
467,Rajagiri School Of Engineering & Technology,P,Ernakulam,115,113,103.3,135.9,89.7,556.8,ENTC
468,The Northcap University,P,Gurgaon,110.9,132.6,77.6,129.9,105.5,556.6,ENTC
469,Muffakham Jah College Of Engineering And Technology,P,Hyderabad,117.9,121.1,96.9,128.3,92.3,556.4,ENTC
470,National Institute Of Science & Technology,P,Berhampur,110.9,121.2,92.8,140,91.2,556.1,ENTC
471,Indraprastha Institute Of IT,G,Delhi,109,114.7,96.9,149.2,85.6,555.5,ENTC
472,SCMS School Of Engineering,P,Ernakulam,105.9,116.4,92.2,137.3,103.6,555.4,ENTC
473,Lakshmi Narain College Of Technology,P,Bhopal,104,148.9,91,140.2,70.5,554.6,ENTC
474,Sikkim Manipal Institute Of Technology,P,Sikkim,112.9,107.4,94.7,138.7,100.9,554.6,ENTC
475,JSS Academy Of Technical Education,P,Bangalore,122,117.4,95,128.4,91.2,553.9,ENTC
476,Amity School Of Engineering & Technology,P,Noida,115.6,109.4,95.7,123.4,108,552,ENTC
477,Maharashtra Institute Of Technology,P,Aurangabad,120,107.3,98.6,131,94.9,551.8,ENTC
478,DY Patil College of Engineering,P,Akrudi,121,109.7,107.5,107.3,106.3,551.8,ENTC
479,IMS Engineering College,P,Ghaziabad,110,111.6,102.8,125.2,101.3,551,ENTC
480,JIS College Of Engineering,P,Bengal,126.1,126.4,79.7,100.5,115.8,548.4,ENTC
481,SS College of Engineering,P,Bangalore,110,109.1,100.3,133.7,95.2,548.3,ENTC
482,GL Bajaj Institute Of Technology & Management,P,Noida,105,109.4,96.6,133.2,104,548.1,ENTC
483,Jaipur Engineering College And Research Center,P,Jaipur,105.5,107.7,112.8,119.1,102.7,547.8,ENTC
484,J.B.Institute Of Technology,P,Dehradun,115.6,118.6,70,145.6,97.2,547,ENTC
485,PES College Of Engineering,P,Mandya,111.8,104.7,105.7,146.1,78.7,546.9,ENTC
486,SSN College Of Engineering,P,Kalavakkam,99,100.9,99.4,132.8,112.8,545,ENTC
487,Kongu Engg. College,P,Erode,104,114.7,118.3,124.9,83.1,545,ENTC
488,Sona College Of Technology,P,Salem,103,119.6,119.8,111.5,89.6,543.5,ENTC
489,RMK Engineering College,P,Kavaripettai,114.2,103.2,97.2,125,99.5,539,ENTC
490,S.A. Engineering College,P,Chennai,105.3,111.8,101.4,136.4,83.6,538.4,ENTC
491,Asia Pacific Inst of Information Tech,P,Panipat,112.7,104.6,81.8,140.7,94.9,534.5,ENTC
492,UIET,P,Chandigarh,110.1,121.9,104.9,136,58.9,531.8,ENTC
493,Veltech High Tech Engineering College,P,Chennai,132.4,116.6,112.6,113.2,56.3,531.1,ENTC
494,CVR College Of Engineering,P,Hyderabad,110.1,121.6,84.7,132.4,80.4,529.3,ENTC
495,Kuppam Engineering College,P,Kuppam,107,102,83.2,146.6,90.3,529.1,ENTC
496,KLS Gogte Institute Of Technology,P,Belagavi,85,119.2,84.6,130.8,95.1,514.7,ENTC
497,Malla Reddy College of Engineering & Technology,P,Secunderabd,108.7,101.2,111.7,122.3,70.7,514.7,ENTC
498,VI of Information Technology (BRACTS),P,Pune,119,101.8,86.8,111.6,95.1,514.2,ENTC
499,IES College Of Technology,P,Bhopal,100,116.7,87.2,134.3,75.6,513.8,ENTC
